Policy:,waste - methane capture,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,70,1556839848,1728412816,1725692733,1535485049,2042605555,2425326235,1824542471,1461589148,1022975445,532581484.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18399974904,36933197543,55591829091,74369484984,93259665228
70,80,0,0,0,0,0,0,0,0,0,0,0,15864433294,32504918491,49772795527,67548637112,85736180486,86849526801,87833657913,88708654209,89491189167,90195558648,90733984759,91214477168,91645431758,92033389490,92385114400,92616007148,92818294589,92995440219,93150344239,93285440569,74911052779,56386721820,37721450390,18923587001,0
80,90,0,0,0,0,0,0,10579412143,22599644175,35589674747,49409857981,63894073477,52632486844,40439863100,27521373936,14006381004,0,0,0,0,0,0,0,0,0,0,0,6986017655,14037584179,21149474908,28317294276,35537308640,94888624062,1.54663E+11,2.14837E+11,2.75388E+11,3.36298E+11
90,100,1.00021E+11,1.19051E+11,1.26819E+11,1.19885E+11,1.68804E+11,2.11451E+11,1.92615E+11,1.99082E+11,2.02028E+11,2.03091E+11,2.02581E+11,2.16991E+11,2.309E+11,2.4449E+11,2.57793E+11,2.70838E+11,2.76518E+11,2.81841E+11,2.86862E+11,2.91627E+11,2.96176E+11,3.00011E+11,3.03683E+11,3.07219E+11,3.10635E+11,3.13952E+11,3.09701E+11,3.05305E+11,3.0078E+11,2.96139E+11,2.91393E+11,2.33998E+11,1.76134E+11,1.1783E+11,59111150536,0
100,150,1.35343E+11,1.47569E+11,1.44664E+11,1.26353E+11,1.64951E+11,1.92156E+11,1.83895E+11,1.99835E+11,2.13386E+11,2.25922E+11,2.37584E+11,2.421E+11,2.45424E+11,2.47883E+11,2.49609E+11,2.50713E+11,2.56245E+11,2.61453E+11,2.66387E+11,2.71089E+11,2.75595E+11,2.79416E+11,2.83089E+11,2.86638E+11,2.90078E+11,2.93429E+11,2.96215E+11,2.98929E+11,3.01582E+11,3.0418E+11,3.0673E+11,3.08778E+11,3.10786E+11,3.12756E+11,3.14694E+11,3.16601E+11
150,200,0,0,0,0,0,0,0,0,0,0,0,6799042904,13930679485,21331198284,28949416178,36744077697,37221225912,37642996178,38017994374,38353366279,38655238691,38885992733,39091918046,39276612866,39442880461,39593619704,39692573432,39779267741,39855186985,39921574108,39979472220,39990438194,39994248984,39991403390,39982743106,39968425996
200,250,9779614846,11458593458,12037890765,11239964816,15652321677,19412402734,19137740475,21384176280,23440651480,25438455243,27383173725,22556779564,17331369506,11794874276,6002734580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
